$VAR__
Name|Platform|Year|Publisher|Global_Sales
Shin Megami Tensei: Devil Survivor 2|3DS|2015|Atlus|0.12
Rose to Tasogare no Kojou|PSV|2016|Nippon Ichi Software|0.02
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker|DS|2008|Konami Digital Entertainment|0.05
Summon Night 2|DS|2008|Namco Bandai Games|0.06
Call of Duty 3|PS3|2006|Activision|1.52
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure|GBA|2005|Activision|0.08
Blazing Angels 2: Secret Missions of WWII|X360|2007|Ubisoft|0.14
Captain America: Super Soldier|PS3|2011|Sega|0.2
MLB 09: The Show|PS2|2009|Sony Computer Entertainment|0.33
River Raid II|2600|1988|Activision|0.51
Rune: Viking Warlord|PS2|2001|Take-Two Interactive|0.26
Petz Pony: Beauty Pageant|DS|2009|Ubisoft|0.19
CyberTiger|N64|2000|Electronic Arts|0.06
Ridge Racer Unbounded|X360|2012|Namco Bandai Games|0.12
Warzone 2100|PS|1999|Eidos Interactive|5.01
Derby Stallion DS|DS|2008|Enterbrain|0.32
NFL Fever 2004|XB|2003|Microsoft Game Studios|0.32
Hot Potato!|GBA|2001|BAM! Entertainment|0.04
Alia's Carnival! Sacrament|PSV|2015|dramatic create|0.03
Saints Row IV|PS4|2015|Deep Silver|0.38
Hisshou Pachinko*Pachi-slot Kouryaku Series DS Vol. 3: Shinseiki Evangelion - Yakusoku no Toki|DS|2008|D3Publisher|0.03
Lernerfolg Vorschule: Capt'n Sharky|DS|2009|Tivola|0.05
Hidden Mysteries: Vampire Secrets|DS|2010|Astragon|0.19
Juiced 2: Hot Import Nights|DS|2007|THQ|0.24
Space Bust-A-Move|DS|2008|Square Enix|0.13
Blood Will Tell: Tezuka Osamu's Dororo|PS2|2004|Sega|0.04
Momotarou Dentetsu 16|Wii|2007|Hudson Soft|0.1
Doraemon|NES|1986|Hudson Soft|1.15
LEGO Star Wars III: The Clone Wars|PSP|2011|LucasArts|0.39
The Godfather (old US sales)|XB|2006|Electronic Arts|0.55
WWE Day of Reckoning|GC|2004|THQ|0.45
SpongeBob SquarePants: Revenge of the Flying Dutchman|PS2|2002|THQ|1.08
Far Cry 4|PS4|2014|Ubisoft|4.03
Bushido Blade 2|PS|1998|SquareSoft|0.68
Pirates of the Caribbean: At World's End|PS2|2007|Disney Interactive Studios|0.42
Sweet Honey Coming|PS2|2009|Kadokawa Shoten|0.01
Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki|PSV|2015|Idea Factory|0.01
Gekikuukan Pro Yakyuu: At the End of the Century 1999|PS2|2000|SquareSoft|0.54
Just Cause|X360|2006|Eidos Interactive|0.14
Mario Golf: World Tour|3DS|2014|Nintendo|0.48
Cruis'n USA|N64|1996|Nintendo|1.74
Scooby-Doo! Classic Creep Capers|N64|2000|THQ|0.37
AMNESIA World|PSV|2014|Idea Factory|0.03
Taiko no Tatsujin Wii|Wii|2008|Namco Bandai Games|0.67
All Star Cheer Squad 2|Wii|2009|THQ|0.13
Street Fighter EX Plus Alpha|PS|1997|Virgin Interactive|0.75
Test Drive Unlimited 2|PC|N/A|Atari|0.2
Sniper Elite|Wii|2010|Reef Entertainment|0.12
Virtua Tennis 4|PC|2011|Sega|0.04
Cartoon Network: Punch Time Explosion XL|Wii|2011|Crave Entertainment|0.09
Akiba's Trip: Undead & Undressed|PS3|2013|Nippon Ichi Software|0.11
My French Coach|DS|2007|Ubisoft|0.18
Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!|3DS|2011|Namco Bandai Games|0.02
Rocket Power: Team Rocket Rescue|PS|2001|THQ|0.84
Spider-Man 3|PC|2007|Activision|0.02
Final Fantasy XIII-2|PS3|2011|Square Enix|2.68
Mike Piazza's Strike Zone|N64|1998|GT Interactive|0.06
Madagascar: Operation Penguin|GBA|2005|Activision|0.48
Mario Hoops 3 on 3|DS|2006|Nintendo|1.62
CSI: Dark Motives|DS|2007|Ubisoft|0.07
Castlevania: Curse of Darkness|XB|2005|Konami Digital Entertainment|0.12
Shenmue|DC|1999|Sega|1.18
Omerta: City of Gangsters|X360|2011|Konami Digital Entertainment|0.71
King's Field II|PS|1996|From Software|0.26
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS|DS|2006|Rocket Company|0.67
UN Squadron|SNES|1991|Capcom|0.12
Rayman Legends|WiiU|2013|Ubisoft|0.68
Pokemon X/Pokemon Y|3DS|2013|Nintendo|14.35
NCAA GameBreaker 2000|PS|1999|989 Studios|0.4
SpongeBob SquarePants: Plankton's Robotic Revenge|WiiU|2013|Activision|0.05
Games Around the World|DS|2010|Zoo Games|0.01
Def Jam Vendetta|PS2|2003|Electronic Arts|1.94
Ben 10 Ultimate Alien: Cosmic Destruction|Wii|2010|D3Publisher|0.29
Harry Potter and the Deathly Hallows - Part 2|Wii|2011|Electronic Arts|0.35
Tengen Toppa Gurren-Lagann|DS|2007|Konami Digital Entertainment|0.02
Motto NUGA-CEL!|PSP|2010|Idea Factory|0.02
Covert Ops: Nuclear Dawn|PS|2000|Sony Computer Entertainment|0.24
Unlimited Saga|PS2|2002|Atari|0.77
Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis|PS2|2009|Tecmo Koei|0.01
PGR3 - Project Gotham Racing 3|X360|2005|Microsoft Game Studios|0.6
Star Trek: Conquest|Wii|2007|Bethesda Softworks|0.12
Shooter: Starfighter Sanvein|PS|2000|Midas Interactive Entertainment|0.02
Murdered: Soul Suspect|X360|2014|Square Enix|0.11
Wii Fit U|WiiU|2013|Nintendo|0.89
Life is Strange|PC|2016|Square Enix|0.04
NASCAR 09|X360|2008|Electronic Arts|0.25
Kamen Rider: Dragon Knight|Wii|2009|D3Publisher|0.07
Evil Zone|PS|1998|Titus|0.25
Fable: The Journey|X360|2012|Microsoft Game Studios|0.29
Choro Q3|PS|1998|Takara|0.26
Konami Collector's Series: Arcade Advanced|GBA|2002|Konami Digital Entertainment|0.64
HardBall 5|PS|1996|SPS|0.12
NHL Hitz 20-03|PS2|2002|Midway Games|0.28
Shaman King: Spirit of Shamans|PS|2002|Namco Bandai Games|0.2
Mega Man Legends 2|PS|2000|Capcom|0.42
Winning Post 8|PS3|2014|Tecmo Koei|0.05
SingStar Dance|PS3|2010|Sony Computer Entertainment|0.53
Eco Creatures: Save The Forest|DS|2007|Rising Star Games|0.03
Suzumiya Haruhi no Tsuisou|PSP|2011|Namco Bandai Games|0.04
BioShock|PC|2007|Take-Two Interactive|0.41
Glover|N64|1998|Hasbro Interactive|0.91
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS|PSP|2009|Namco Bandai Games|0.41
FaceBreaker|X360|2008|Electronic Arts|0.19
Medabots 9: Metabee / Rokusho|3DS|2015|Rocket Company|0.03
MLB|PSP|2005|Sony Computer Entertainment|0.24
Kinnikuman Muscle Grand Prix Max|PS2|2006|Konami Digital Entertainment|0.05
Captain Morgane and the Golden Turtle|DS|2012|Reef Entertainment|0.03
Vampire Mansion: Linda Hyde|DS|2011|Unknown|0.02
Sleeping Dogs|X360|2012|Square Enix|0.88
Goblin Commander: Unleash the Horde|PS2|2003|Jaleco|0.17
Myth Makers: Super Kart GP|Wii|2007|Popcorn Arcade|0.02
FIFA 14|PS4|2013|Electronic Arts|2.9
Wario Land II (GBC)|GB|1998|Nintendo|0.38
Turok 3: Shadow of Oblivion|N64|2000|Acclaim Entertainment|0.17
Super Mario Maker|WiiU|2015|Nintendo|3.18
Steins;Gate: Hiyoku Renri no Darling|PS3|2012|5pb|0.02
Cabela's North American Adventures|PS3|2010|Activision|0.11
Maji de Manabu: LEC de Ukaru - DS Hishou Boki 3-Kyuu|DS|2008|Square Enix|0.02
Super Famista 4|SNES|1995|Namco Bandai Games|0.42
Klonoa 2: Dream Champ Tournament|GBA|2002|Namco Bandai Games|0.03
ZhuZhu Pets: Quest for Zhu|DS|2011|Activision|0.07
Chuck E. Cheese's Sports Games|Wii|2011|UFO Interactive|0.02
Ski and Shoot|Wii|2008|RTL|0.09
Minecraft|PS4|2014|Sony Computer Entertainment Europe|4.02
Pro Evolution Soccer|PS2|2001|Konami Digital Entertainment|1.75
Hot Wheels: Beat That!|DS|2007|Activision|0.23
TMNT|PSP|2007|Ubisoft|0.12
Indiana Jones and the Emperor's Tomb|XB|2003|LucasArts|0.18
Lunar: Silver Star Harmony|PSP|2009|GungHo|0.24
V-Rally 3|PS2|2002|Atari|0.06
Hurry Up Hedgehog!|DS|2009|O-Games|0.02
Parasite Eve|PS|1998|SquareSoft|2.1
Orega Kantoku Da! Gekitou Pennant Race|PS2|2000|Enix Corporation|0.08
MySims Kingdom|DS|2008|Electronic Arts|1.58
Madden NFL 06|GBA|2005|Electronic Arts|0.23
Rec Room Games|Wii|2009|Destineer|0.37
Croc 2|PS|1999|Fox Interactive|0.73
Build-A-Bear Workshop: A Friend Fur All Seasons|Wii|2008|Game Factory|0.37
Jak 3|PS2|2004|Sony Computer Entertainment|1.85
Pro Yaky? Spirits 3|PS2|2006|Konami Digital Entertainment|0.16
Doraemon Wii: Himitsu Douguou Ketteisen!|Wii|2007|Sega|0.01
Red Ninja: End of Honor|PS2|2005|Vivendi Games|0.04
SBK Superbike World Championship|X360|2008|Black Bean Games|0.21
Mortal Kombat 3|PS|1995|Sony Computer Entertainment|0.55
Need for Speed: Shift|X360|2009|Electronic Arts|1.92
Teenage Mutant Ninja Turtles|GC|2003|Konami Digital Entertainment|0.34
Blaze Union: Story to Reach the Future|PSP|2010|Sting|0.03
Kung-Fu: High Impact|X360|2011|Black Bean Games|0.15
Scurge: Hive|DS|2006|SouthPeak Games|0.06
Katekyoo Hitman Reborn Nerae!? Ring x Bongole Returns|PS2|2008|Marvelous Interactive|0.01
Jikkyou Powerful Pro Yakyuu '98 Ketteiban|PS|1998|Konami Digital Entertainment|0.27
Quake|N64|1998|GT Interactive|0.19
Shenmue II|XB|2002|Microsoft Game Studios|0.32
Ben 10 Ultimate Alien: Cosmic Destruction|X360|2010|D3Publisher|0.18
San Goku Shi Taisen Ten|DS|2008|Sega|0.07
Sin and Punishment: Star Successor|Wii|2009|Nintendo|0.44
Megamind: The Blue Defender|PSP|2010|THQ|0.13
Need for Speed: Shift|PS3|2009|Electronic Arts|2.68
Gun|XB|2005|Activision|0.52
Yokai Watch 2 Shinuchi|3DS|2014|Level 5|2.68
Noddy in Toyland|DS|2011|GSP|0.06
Cars Mater-National Championship|Wii|2007|THQ|0.49
Macross Ultimate Frontier|PSP|2009|Namco Bandai Games|0.17
Pool Hall Pro|Wii|2009|Playlogic Game Factory|0.05
Chocobo no Fushigi Dungeon for WonderSwan|WS|1999|Namco Bandai Games|0.18
Karaoke Joysound Wii|Wii|2008|Hudson Soft|0.26
Rune Factory: Tides of Destiny|Wii|2011|Marvelous Interactive|0.21
Castlevania: Lords of Shadow|PS3|2010|Konami Digital Entertainment|1.12
Classic NES Series: Dr. Mario|GBA|2004|Nintendo|0.56
Exhibition Volume 02|XB|2003|Microsoft Game Studios|0.17
Vacation Isle: Beach Party|Wii|2010|Warner Bros. Interactive Entertainment|0.12
Madden NFL 99|PS|1998|Electronic Arts|1.74
Tennis|GB|1989|Nintendo|1.99
NOëL: La Neige|PS|1998|Pioneer LDC|0.07
RealSports Football|2600|1981|Atari|0.26
Breath of Fire II|GBA|2001|Ubisoft|0.19
Black Sigil: Blade of the Exiled|DS|2009|Graffiti|0.05
LEGO Indiana Jones: The Original Adventures|PS3|2008|Activision|1.06
Amplitude|PS2|2003|Sony Computer Entertainment|0.18
NBA Jam|GEN|1992|Arena Entertainment|2.05
Genkai Totsuki Moero Chronicle|PSV|2014|Compile Heart|0.08
Style Lab: Makeover|DS|2009|Ubisoft|0.42
Space Chimps|DS|2008|Brash Entertainment|0.06
The Sims 2: Family Fun Stuff|PC|2006|Electronic Arts|0.02
NASCAR '15|X360|2015|Deep Silver|0.17
Basketball Hall of Fame Ultimate Hoops Challenge|Wii|2010|Zoo Games|0.07
Deepak Chopra's Leela|Wii|2011|THQ|0.14
Smile PreCure! Let's Go! Marchen World|3DS|2012|Namco Bandai Games|0.06
Trauma Team|Wii|N/A|Unknown|0.18
Clannad|PS3|2011|Prototype|0.03
L'Aigle de Guerre|GBA|2001|Nintendo|0.1
Dream Pinball 3D|Wii|2008|SouthPeak Games|0.14
Rival Schools: United By Fate|PS|1998|Capcom|0.52
Bass Pro Shops: The Hunt|X360|2010|Griffin International|0.09
FIFA 12|3DS|2011|Electronic Arts|0.39
Invizimals: The Alliance|PSV|2013|Sony Computer Entertainment|0.07
Speed Kings|PS2|2003|Acclaim Entertainment|0.09
SoulCalibur|DC|1999|Namco Bandai Games|0.34
11eyes: CrossOver|X360|2009|5pb|0.02
Frogger Advance: The Great Quest|GBA|2002|Konami Digital Entertainment|0.07
FIFA Street|GC|2005|Electronic Arts|0.06
Naruto Shippuden: Ultimate Ninja Storm 3|X360|2013|Namco Bandai Games|0.51
D.Gray-man: Kami no Shitotachi|DS|2007|Konami Digital Entertainment|0.05
Tsuyo Kiss 2 Gakki: Swift Love|PS2|2009|Revolution (Japan)|0.02
Puzzle de Harvest Moon|DS|2007|Natsume|0.13
Cars: Mater-National Championship|DS|2007|THQ|0.68
Far Cry: Primal|PS4|2016|Ubisoft|2.13
Marc Ecko's Getting Up: Contents Under Pressure|PS2|2006|Atari|0.05
1/2 Summer +|PSP|2013|Kaga Create|0.01
Shrek 2: Beg for Mercy|GBA|2004|Activision|0.58
Need for Speed: Nitro|DS|2009|Electronic Arts|0.39
Sumikko Gurashi: Koko ga Ochitsukundesu|3DS|2014|Nippon Columbia|0.17
Harvest Moon GB|GB|1997|Victor Interactive|0.23
Sphinx and the Cursed Mummy|XB|2003|THQ|0.12
The Legend of Heroes: Trails in the Sky Third Chapter|PSP|2008|Falcom Corporation|0.07
Petz Fantasy: Sunshine Magic|DS|2010|Ubisoft|0.08
Miyako: Awayuki no Utage|PSP|2012|Idea Factory|0.01
Tony Hawk's Project 8|PS2|2006|Activision|0.87
Family Feud: 2010 Edition|DS|2009|Ubisoft|0.27
SimCity (2013)|PC|2013|Electronic Arts|1.44
Spy vs Spy|XB|2005|Global Star|0.11
Jackass the Game|PS2|2007|Empire Interactive|0.28
LEGO The Lord of the Rings|DS|2012|Warner Bros. Interactive Entertainment|0.16
LEGO Star Wars II: The Original Trilogy|PS2|2006|LucasArts|2.69
New Play Control! Pikmin|Wii|2008|Nintendo|0.66
Scaler|PS2|2004|Take-Two Interactive|0.09
The Berenstain Bears and the Spooky Old Tree|GBA|2005|Namco Bandai Games|0.05
Shark Tale|GC|2004|Activision|0.3
Resident Evil Director's Cut: Dual Shock Edition|PS|1997|Capcom|0.17
Classic Word Games|DS|2009|Ubisoft|0.52
Death Jr.|PSP|2005|Konami Digital Entertainment|0.19
World Championship Poker: Featuring Howard Lederer - All In|PS2|2006|Oxygen Interactive|1.68
Famicom Mini: Mappy|GBA|2004|Nintendo|0.1
Seven: Molmorth no Kiheitai|PS2|2000|Namco Bandai Games|0.09
Kirby's Dream Land|GB|1992|Nintendo|5.13
Tom Clancy's HAWX 2|X360|2010|Ubisoft|0.36
Fallout: Brotherhood of Steel|PS2|2004|Avalon Interactive|0.07
Super Mario Land|GB|1989|Nintendo|18.14
NCAA Football 11|X360|2010|Electronic Arts|0.92
King's Bounty: Armored Princess|PC|2009|1C Company|0.01
Pac-Man World 3|DS|2005|Namco Bandai Games|0.18
Star Trek: Legacy|X360|N/A|Ubisoft|0.19
Backyard NBA Basketball|DS|2007|Atari|0.07
Endless Ocean|Wii|2007|Nintendo|1.09
Minute to Win It|DS|2010|Zoo Games|0.12
Destroy All Humans! 2|PS2|2006|THQ|0.48
Dark Sector|X360|2008|D3Publisher|0.48
Ball Breakers|PS|2000|Take-Two Interactive|0.18
SD Gundam Force|GBA|2004|Namco Bandai Games|0.02
SplashDown: Rides Gone Wild|PS2|2003|THQ|0.5
Virtual Pro Wrestling|PS|1996|Asmik Ace Entertainment|0.1
Disruptor|PS|1995|Interplay|0.13
Tales of Xillia|PS3|2011|Namco Bandai Games|1.24
SpongeBob's Surf & Skate Roadtrip|DS|2011|THQ|0.13
Lucha Libre AAA: Heroes del Ring|PS3|2010|Konami Digital Entertainment|0.1
Beastly|Wii|2011|Unknown|0.03
Avatar: The Last Airbender|Wii|2006|THQ|0.28
Aedis Eclipse: Generation of Chaos|PSP|2006|Idea Factory|0.02
Densetsu no Stafi|GBA|2002|Nintendo|0.47
The Book of Unwritten Tales 2|PS4|2015|Nordic Games|0.07
Pac-Man: Adventures in Time|PSP|2006|Sony Computer Entertainment|2.63
Bratz Kidz|Wii|2008|Game Factory|0.17
Punch King|GBA|2002|Acclaim Entertainment|0.05
LEGO Marvel Super Heroes|PC|2013|Warner Bros. Interactive Entertainment|0.18
World Championship Poker|GBA|2004|Crave Entertainment|0.17
Musou Tourou|PSP|2009|Nippon Ichi Software|0.01
EA Sports MMA|X360|2010|Electronic Arts|0.36
Fab 5 Soccer|DS|2008|Destineer|0.01
NHL 14|X360|2013|Electronic Arts|0.54
Nicktoons: Battle for Volcano Island|DS|2006|THQ|0.3
Jurassic: The Hunted|PS2|2009|Activision|0.14
Steambot Chronicles|PS2|2005|505 Games|0.04
Martian Panic|Wii|2010|Unknown|0.08
Indigo Prophecy|XB|2005|Atari|0.1
World Series of Poker|GC|2005|Activision Value|0.05
A Bug's Life|PS|1998|Sony Computer Entertainment|2.79
World Series of Poker 2008: Battle for the Bracelets|PS2|2007|Activision|0.23
Tiger Woods PGA Tour 2000|PS|1998|Electronic Arts|0.66
Colin McRae Rally 2005|XB|2004|Codemasters|0.05
Yu-Gi-Oh! World Championship 2008|DS|2007|Konami Digital Entertainment|0.28
Zoids Assault|X360|2007|Takara Tomy|0.09
Ultimate Marvel vs. Capcom 3|X360|2011|Capcom|0.07
Vexx|XB|2003|Acclaim Entertainment|0.1
Bangai-O Spirits|DS|2008|D3Publisher|0.08
River City Ransom EX|GBA|2004|Atlus|0.07
Strawberry Shortcake: Game Boy Advance Video Volume 1|GBA|2004|N/A|0.15
PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!|3DS|2015|Namco Bandai Games|0.03
Ochaken no Heya DS 2|DS|2007|MTO|0.09
Thrasher Presents: Skate and Destroy|PS|1998|Take-Two Interactive|0.39
World of Outlaws: Sprint Cars|X360|2010|THQ|0.18
Sleepover Party|Wii|2009|Ubisoft|0.04
Sports Illustrated for Kids: Football|GBA|2003|BAM! Entertainment|0.18
Trivial Pursuit unhinged|XB|2004|Atari|0.09
Goblin Commander: Unleash the Horde|GC|2003|Jaleco|0.02
Shadow Hearts: Covenant|PS2|2004|Midway Games|0.24
The Fairly Odd Parents: Shadow Showdown|GC|2004|THQ|0.2
Sonic & All-Stars Racing Transformed|3DS|2012|Sega|0.29
Valentino Rossi: The Game|PC|2016|Namco Bandai Games|0.01
Naruto: Ninja Destiny (US sales)|DS|2006|Namco Bandai Games|0.31
Pro Yakyuu Family Stadium|Wii|2008|Namco Bandai Games|0.03
Shinseiki Evangelion: Koutetsu no Girlfriend Tokubetsu-Hen Portable|PSP|2009|CyberFront|0.01
7th Dragon|DS|2009|Sega|0.14
Let's Dance with Mel B|Wii|2011|Black Bean Games|0.03
Adventure Time: Finn & Jake Investigations|PS4|2015|Little Orbit|0.09
Dead Island|PS3|2011|Deep Silver|2.29
Breakout|PS|1999|Hasbro Interactive|0.11
The Mummy|GBA|2002|Ubisoft|0.02
SimCity 2000|PS|1996|Maxis|1.22
SSX Tricky|GC|2001|Electronic Arts|0.54
Planetarium Creator Ohira Takayuki Kanshuu: HomeStar Portable - 21st Century Star Navigator|PSP|2006|Sega|0.02
Infinite Space|DS|2009|Sega|0.22
Magna Carta: Tears of Blood|PS2|2004|505 Games|0.22
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion|DS|2011|Konami Digital Entertainment|0.08
Hummer Badlands|PS2|2006|Global Star|0.05
Draglade|DS|2007|505 Games|0.1
NBA 2K17|PS4|2016|Take-Two Interactive|1.19
Tales of Berseria|PS4|2016|Namco Bandai Games|0.22
Inazuma Eleven GO 3: Galaxy|3DS|2013|Level 5|0.26
Bad Boys: Miami Takedown|GC|2004|Empire Interactive|0.05
Batman: Dark Tomorrow|XB|2003|Kemco|0.11
Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira|PSP|2012|Idea Factory|0.02
Grand Ages: Medieval|PC|2015|Kalypso Media|0.05
Tokimeki Memorial: Forever with You|PS|1995|Konami Digital Entertainment|0.58
Dead Space|PS3|2008|Electronic Arts|2.02
Harvest Moon: Grand Bazaar|DS|2008|Rising Star Games|0.42
Tetris Worlds|GBA|2001|THQ|1.71
Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki|PS2|2008|Minato Station|0.02
FIFA Street 2|XB|2006|Electronic Arts|0.08
Just Dance 2014|WiiU|2013|Ubisoft|0.61
Football Manager Live|PC|2009|Sega|0.01
MTV Sports: Pure Ride|PS|2000|THQ|0.12
Metroid Prime|GC|2002|Nintendo|2.82
Unreal II: The Awakening|XB|2004|Atari|0.21
Resident Evil 2|GC|2003|Capcom|0.06
Max Payne 3|PC|2012|Take-Two Interactive|0.43
Planet 51|Wii|2009|Sega|0.2
South Park: Chef's Luv Shack|PS|1998|Acclaim Entertainment|0.31
Puyo Puyo!! 20th Anniversary|DS|2011|Sega|0.14
Cyber Troopers Virtual-On|SAT|1995|Sega|0.42
Higurashi no Naku Koro ni Matsuri: Kakera Asobi|PS2|2007|Alchemist|0.07
Avatar: The Last Airbender - The Burning Earth|Wii|2007|THQ|0.26
NASCAR Racing|PS|1996|Pioneer LDC|0.41
Bomberman|NES|1985|Hudson Soft|1.03
The Suffering: Ties That Bind|PS2|2005|Midway Games|0.17
Fable|X360|2014|Microsoft Game Studios|0.48
Wave Rally|PS2|2001|Eidos Interactive|0.27
Uchida Yasuou Mystery: Meitantei Senken Mitsuhiko Series: Fukutoshin Renzoku Satsujin Jiken|DS|2009|D3Publisher|0.01
Tomb Raider (2013)|PC|N/A|Square Enix|0.36
Disney Infinity|PSV|2013|Disney Interactive Studios|0.07
Higurashi no Naku Koro ni Iki|PS3|2015|Kaga Create|0.01
Final Fantasy XII|PS2|2006|Square Enix|5.95
Harry Potter and the Chamber of Secrets|PS2|2002|Electronic Arts|2.61
Syndicate|PC|1992|Electronic Arts|0.06
Dance Dance Revolution Ultramix 2|XB|2004|Konami Digital Entertainment|0.42
Saltwater Sportfishing|PS|2001|Take-Two Interactive|0.22
Star Wars Battlefront: Elite Squadron|PSP|2009|LucasArts|0.78
Enemy Territory: Quake Wars|PC|2007|Activision|0.02
Paper Mario|N64|2000|Nintendo|1.38
SD Gundam G Generation Wars|PS2|2009|Namco Bandai Games|0.31
American Girl: Julie Finds a Way|DS|2007|THQ|0.11
Press Your Luck 2010 Edition|DS|2009|Ubisoft|0.2
Reel Fishing III|PS2|2003|Natsume|0.37
Tom Clancy's HAWX|PC|2009|Ubisoft|0.04
Tottadoo! Yoiko no Mujintou Seikatsu|DS|2008|Namco Bandai Games|0.19
Heavy Fire: The Chosen Few 3D|3DS|2011|Mastiff|0.02
Country Dance|Wii|2011|Funbox Media|0.68
Mega Man X2|SNES|1993|Laguna|0.56
BeatMania IIDX 16: Empress + Premium Best|PS2|2009|Konami Digital Entertainment|0.04
Jampack: Summer 2003 (RP-M)|PS2|2003|Sony Computer Entertainment|0.31
Madden NFL 12|X360|2011|Electronic Arts|2.69
Tom Clancy's Splinter Cell: Blacklist|WiiU|2013|Ubisoft|0.12
The Sims 2: Apartment Pets|DS|2008|Electronic Arts|0.7
NHL 07|PSP|2006|Electronic Arts|0.17
Metal Gear Solid: The Essential Collection (JP sales)|PS2|2007|Konami Digital Entertainment|0.03
Crash Bash|PS|2000|Sony Computer Entertainment|3.39
Rat Attack!|PS|1999|Mindscape|0.04
Tales of Innocence|DS|2007|Namco Bandai Games|0.26
WipEout 3|PS|1999|Psygnosis|0.34
Brunswick Pro Bowling|3DS|2011|Crave Entertainment|0.12
Metal Gear Solid: Digital Graphic Novel|PSP|2006|Konami Digital Entertainment|0.04
Dino Stalker|PS2|2002|Capcom|0.22
Wizards of Waverly Place: Spellbound|DS|2010|Disney Interactive Studios|0.23
Kung Fu Panda: Showdown of Legendary Legends|X360|2015|Little Orbit|0.03
Coraline|DS|2009|D3Publisher|0.04
Teen Titans|GC|2006|THQ|0.33
Madden NFL 2001|PS2|2000|Electronic Arts|1.5
Pachitte Chonmage Tatsujin 12: Pachinko Ultraman|PS2|2007|Hackberry|0.03
New Super Mario Bros. Wii|Wii|2009|Nintendo|28.62
Dragon Quest Builders: Revive Alefgard|PS3|2016|Square Enix|0.12
NBA 2K15|PS4|2014|Take-Two Interactive|2.38
The Settlers II 10th Anniversary|PC|2006|Ubisoft|0.03
The Witch and the Hundred Knight|PS4|2015|Nippon Ichi Software|0.08
LEGO Indiana Jones: The Original Adventures|PSP|2008|LucasArts|1.18
Double Dragon|2600|1989|Activision|0.47
MLB SlugFest 20-03|PS2|N/A|Unknown|0.83
Cars|GC|2006|THQ|0.93
Need for Speed Carbon|PS3|2006|Electronic Arts|1.26
Action Man-Operation Extreme|PS|N/A|N/A|0.09
Dance Dance Revolution (North America)|PS|2001|Konami Digital Entertainment|0.15
Frogger Beyond|XB|2002|Konami Digital Entertainment|0.08
F1 Pole Position 64|N64|1997|Ubisoft|0.25
Marvel: Ultimate Alliance 2|X360|2009|Activision|0.91
Target: Terror|Wii|2008|Konami Digital Entertainment|0.07
GoGo's Crazy Bones|DS|2012|GameMill Entertainment|0.04
Monster Jam|PS2|2007|Activision|0.24
Mushihimesama|X360|2012|Cave|0.02
Rogue Galaxy: Director's Cut|PS2|2007|Sony Computer Entertainment|0.41
Marvel: Ultimate Alliance 2|DS|2009|Activision|0.2
Castlevania: Dawn of Sorrow|DS|2005|Konami Digital Entertainment|0.47
The Sims: House Party|PC|2001|Electronic Arts|2.16
Justice League Heroes: The Flash|GBA|2006|Eidos Interactive|0.03
Army Men: RTS|PS2|2002|3DO|0.11
Monster Rancher 2|PS|1998|Sony Computer Entertainment|1.05
Hasbro Family Game Night 2|Wii|2009|Electronic Arts|1.38
The Urbz: Sims in the City|XB|2004|Electronic Arts|0.34
Guitar Hero 5|Wii|2009|Activision|1.58
GT Advance 2: Rally Racing|GBA|2001|THQ|0.11
Men of Valor|XB|2004|Vivendi Games|0.25
The Sims 4: Luxury Party Stuff|PC|2015|Electronic Arts|0.02
Split/Second|PSP|2010|Disney Interactive Studios|0.11
Toukiden 2|PSV|2016|Tecmo Koei|0.11
Crash: Mind Over Mutant|Wii|2008|Vivendi Games|0.45
Rise of the Tomb Raider|PC|2016|Square Enix|0.1
Call of Duty: Modern Warfare 3|PC|2011|Activision|1.72
Wrestle Kingdom|PS2|2006|Yuke's|0.03
Avatar: The Game|DS|2009|Ubisoft|0.41
Namco Museum Vol.2|PS|1996|Sony Computer Entertainment|0.29
Disney Sports Skateboarding|GC|2002|Konami Digital Entertainment|0.06
Pokemon Snap|N64|1999|Nintendo|3.63
Stormrise|PC|2009|Sega|0.02
MLB 08: The Show|PS3|2008|Sony Computer Entertainment|0.7
Driver 2 Advance|GBA|2002|Atari|0.34
NASCAR Unleashed|Wii|2011|Activision|0.2
Tony Hawk's Proving Ground|DS|2007|Activision|0.23
Thrillville: Off the Rails|X360|2007|LucasArts|0.16
Madden NFL 10|PS3|2009|Electronic Arts|2.37
Robotech: Battlecry|GC|2002|TDK Mediactive|0.16
Mushroom Men: Rise of the Fungi|DS|2008|SouthPeak Games|0.11
Gadget Racers|PS2|2000|Midas Interactive Entertainment|0.08
